delivery_id,match_id,innings,over,ball,batting_team,bowling_team,striker,non_striker,bowler,batsman_runs,extra_runs,total_runs,extra_type,is_wicket,dismissal_type,dismissed_player,fielder
D0000090,M0001,2,1,3,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Ambati van der Dussen,2,1,3,no-ball,False,,,
D0000091,M0001,2,1,4,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Ambati van der Dussen,4,0,4,,False,,,
D0000092,M0001,2,1,5,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Ambati van der Dussen,2,0,2,,False,,,
D0000093,M0001,2,1,6,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Ambati van der Dussen,1,0,1,,False,,,
D0000094,M0001,2,2,1,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shadab Salt,6,0,6,,False,,,
D0000095,M0001,2,2,2,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shadab Salt,1,0,1,,False,,,
D0000096,M0001,2,2,3,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shadab Salt,1,0,1,,False,,,
D0000097,M0001,2,2,4,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shadab Salt,1,0,1,,False,,,
D0000098,M0001,2,2,5,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shadab Salt,1,0,1,,False,,,
D0000099,M0001,2,2,6,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shadab Salt,4,0,4,,False,,,
D0000100,M0001,2,3,1,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Jos Ashwin,4,0,4,,False,,,
D0000101,M0001,2,3,2,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Jos Ashwin,1,0,1,,False,,,
D0000102,M0001,2,3,3,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Jos Ashwin,2,0,2,,False,,,
D0000103,M0001,2,3,4,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Jos Ashwin,2,0,2,,False,,,
D0000104,M0001,2,3,5,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Jos Ashwin,2,0,2,,False,,,
D0000105,M0001,2,3,6,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Jos Ashwin,1,0,1,,False,,,
D0000106,M0001,2,4,1,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shoaib Ngidi,2,0,2,,False,,,
D0000107,M0001,2,4,2,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shoaib Ngidi,1,0,1,,False,,,
D0000108,M0001,2,4,3,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shoaib Ngidi,6,0,6,,False,,,
D0000109,M0001,2,4,4,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shoaib Ngidi,2,0,2,,False,,,
D0000110,M0001,2,4,5,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shoaib Ngidi,4,0,4,,False,,,
D0000111,M0001,2,4,6,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Shoaib Ngidi,2,0,2,,False,,,
D0000112,M0001,2,5,1,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,AB Karthik,6,0,6,,False,,,
D0000113,M0001,2,5,2,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,AB Karthik,4,0,4,,False,,,
D0000114,M0001,2,5,3,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,AB Karthik,6,0,6,,False,,,
D0000115,M0001,2,5,4,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,AB Karthik,2,0,2,,False,,,
D0000116,M0001,2,5,5,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,AB Karthik,2,0,2,,False,,,
D0000117,M0001,2,5,6,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,AB Karthik,0,0,0,,False,,,
D0000118,M0001,2,6,1,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Hashim Chahar,6,0,6,,False,,,
D0000119,M0001,2,6,2,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Hashim Chahar,2,0,2,,False,,,
D0000120,M0001,2,6,3,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Hashim Chahar,1,0,1,,False,,,
D0000121,M0001,2,6,4,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Hashim Chahar,1,0,1,,False,,,
D0000122,M0001,2,6,5,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Hashim Chahar,6,1,7,wide,False,,,
D0000123,M0001,2,6,6,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Hashim Chahar,4,0,4,,False,,,
D0000124,M0001,2,7,1,Royal Challengers Bangalore,Kings XI Punjab,Devdutt Agarwal,AB Ashraf,Ambati van der Dussen,0,0,0,,True,caught,Devdutt Agarwal,Shoaib Ngidi
D0000125,M0001,2,7,2,Royal Challengers Bangalore,Kings XI Punjab,AB Ashraf,Shoaib Amir,Ambati van der Dussen,4,0,4,,False,,,
D0000126,M0001,2,7,3,Royal Challengers Bangalore,Kings XI Punjab,AB Ashraf,Shoaib Amir,Ambati van der Dussen,1,0,1,,False,,,
D0000127,M0001,2,7,4,Royal Challengers Bangalore,Kings XI Punjab,AB Ashraf,Shoaib Amir,Ambati van der Dussen,0,0,0,,True,caught,AB Ashraf,Shoaib Ngidi
D0000128,M0001,2,7,5,Royal Challengers Bangalore,Kings XI Punjab,Shoaib Amir,Najibullah Ashraf,Ambati van der Dussen,1,0,1,,False,,,
D0000129,M0001,2,7,6,Royal Challengers Bangalore,Kings XI Punjab,Shoaib Amir,Najibullah Ashraf,Ambati van der Dussen,1,0,1,,False,,,
D0000130,M0001,2,8,1,Royal Challengers Bangalore,Kings XI Punjab,Shoaib Amir,Najibullah Ashraf,Shadab Salt,0,4,4,leg-bye,False,,,
D0000131,M0001,2,8,2,Royal Challengers Bangalore,Kings XI Punjab,Shoaib Amir,Najibullah Ashraf,Shadab Salt,1,0,1,,False,,,
D0000132,M0001,2,8,3,Royal Challengers Bangalore,Kings XI Punjab,Shoaib Amir,Najibullah Ashraf,Shadab Salt,0,0,0,,True,caught and bowled,Shoaib Amir,
D0000133,M0001,2,8,4,Royal Challengers Bangalore,Kings XI Punjab,Najibullah Ashraf,Aiden Pant,Shadab Salt,4,0,4,,False,,,
D0000134,M0002,1,1,1,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Ollie Rahul,1,0,1,,False,,,
D0000135,M0002,1,1,2,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Ollie Rahul,1,0,1,,False,,,
D0000136,M0002,1,1,3,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Ollie Rahul,0,0,0,,False,,,
D0000137,M0002,1,1,4,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Ollie Rahul,1,4,5,bye,False,,,
D0000138,M0002,1,1,5,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Ollie Rahul,6,0,6,,False,,,
D0000139,M0002,1,1,6,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Ollie Rahul,0,0,0,,False,,,
D0000140,M0002,1,2,1,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Gill,2,0,2,,False,,,
D0000141,M0002,1,2,2,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Gill,4,1,5,no-ball,False,,,
D0000142,M0002,1,2,3,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Gill,2,0,2,,False,,,
D0000143,M0002,1,2,4,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Gill,0,0,0,,False,,,
D0000144,M0002,1,2,5,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Gill,0,0,0,,False,,,
D0000145,M0002,1,2,6,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Gill,2,0,2,,False,,,
D0000146,M0002,1,3,1,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Bairstow,1,0,1,,False,,,
D0000147,M0002,1,3,2,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Bairstow,1,0,1,,False,,,
D0000148,M0002,1,3,3,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Bairstow,6,0,6,,False,,,
D0000149,M0002,1,3,4,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Bairstow,2,0,2,,False,,,
D0000150,M0002,1,3,5,Mumbai Indians,Kolkata Knight Riders,Liam Southee,Shardul Ashwin,Dawid Bairstow,0,0,0,,True,caught,Liam Southee,Dawid Gill
D0000151,M0002,1,3,6,Mumbai Indians,Kolkata Knight Riders,Shardul Ashwin,Devdutt Boult,Dawid Bairstow,2,0,2,,False,,,
D0000152,M0002,1,4,1,Mumbai Indians,Kolkata Knight Riders,Shardul Ashwin,Devdutt Boult,Tom Starc,2,0,2,,False,,,
D0000153,M0002,1,4,2,Mumbai Indians,Kolkata Knight Riders,Shardul Ashwin,Devdutt Boult,Tom Starc,1,0,1,,False,,,
D0000154,M0002,1,4,3,Mumbai Indians,Kolkata Knight Riders,Shardul Ashwin,Devdutt Boult,Tom Starc,0,0,0,,True,bowled,Shardul Ashwin,
D0000155,M0002,1,4,4,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Tom Starc,0,0,0,,False,,,
D0000156,M0002,1,4,5,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Tom Starc,1,0,1,,False,,,
D0000157,M0002,1,4,6,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Tom Starc,1,0,1,,False,,,
D0000158,M0002,1,5,1,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Aiden Buttler,4,0,4,,False,,,
D0000159,M0002,1,5,2,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Aiden Buttler,2,1,3,no-ball,False,,,
D0000160,M0002,1,5,3,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Aiden Buttler,4,0,4,,False,,,
D0000161,M0002,1,5,4,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Aiden Buttler,1,0,1,,False,,,
D0000162,M0002,1,5,5,Mumbai Indians,Kolkata Knight Riders,Devdutt Boult,Hashim Gayle,Aiden Buttler,0,0,0,,True,caught,Devdutt Boult,Tom Starc
D0000163,M0002,1,5,6,Mumbai Indians,Kolkata Knight Riders,Hashim Gayle,Jos van der Dussen,Aiden Buttler,2,0,2,,False,,,
D0000164,M0002,1,6,1,Mumbai Indians,Kolkata Knight Riders,Hashim Gayle,Jos van der Dussen,Krunal Tahir,0,0,0,,True,bowled,Hashim Gayle,
D0000165,M0002,2,1,1,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Chris Agarwal,4,0,4,,False,,,
D0000166,M0002,2,1,2,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Chris Agarwal,2,1,3,bye,False,,,
D0000167,M0002,2,1,3,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Chris Agarwal,4,0,4,,False,,,
D0000168,M0002,2,1,4,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Chris Agarwal,1,0,1,,False,,,
D0000169,M0002,2,1,5,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Chris Agarwal,4,0,4,,False,,,
D0000170,M0002,2,1,6,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Chris Agarwal,1,1,2,no-ball,False,,,
D0000171,M0002,2,2,1,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Ross Buttler,4,0,4,,False,,,
D0000172,M0002,2,2,2,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Ross Buttler,4,0,4,,False,,,
D0000173,M0002,2,2,3,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Ross Buttler,4,0,4,,False,,,
D0000174,M0002,2,2,4,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Ross Buttler,2,0,2,,False,,,
D0000175,M0002,2,2,5,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Ross Buttler,0,4,4,bye,False,,,
D0000176,M0002,2,2,6,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Ross Buttler,4,0,4,,False,,,
D0000177,M0002,2,3,1,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Gerald Chahal,1,0,1,,False,,,
D0000178,M0002,2,3,2,Kolkata Knight Riders,Mumbai Indians,Yuzvendra Curran,Steve Iyer,Gerald Chahal,0,0,0,,True,caught,Yuzvendra Curran,Gerald Chahal
D0000179,M0002,2,3,3,Kolkata Knight Riders,Mumbai Indians,Steve Iyer,Rohit Shami,Gerald Chahal,0,0,0,,False,,,
D0000180,M0002,2,3,4,Kolkata Knight Riders,Mumbai Indians,Steve Iyer,Rohit Shami,Gerald Chahal,2,0,2,,False,,,
